epoch, batch, loss, loss_f, loss_e, f_rmse, f_mae, e_mae
    1,     1,           121.83,          0.95116,           26.712,           20.136,           16.295,            106.7
    1,     2,           216.81,           2.0313,           13.674,           29.426,           21.345,           76.344
    1,     3,           113.32,           1.0445,           8.8668,           21.101,           16.135,           61.484
    1,     4,           156.84,           1.5326,           3.5763,            25.56,           17.711,           39.047
    1,     5,           87.192,          0.86507,          0.68482,           19.203,           12.911,           17.078
    1,     6,           55.049,           0.5492,          0.12896,           15.301,           10.628,           7.4219
    1,     7,           63.264,          0.60347,           2.9164,           16.039,           12.075,           35.266
    1,     8,           81.764,          0.75089,           6.6753,           17.891,             11.6,           53.344
    1,     9,           67.224,          0.56335,           10.889,           15.497,           11.188,           68.125
    1,    10,           76.019,          0.63642,           12.377,           16.471,           11.649,           72.641
    1,    11,           61.162,          0.50981,           10.181,           14.742,           10.423,           65.875
    1,    12,           47.289,          0.38961,           8.3279,           12.887,           9.6676,           59.578
    1,    13,           97.363,          0.90375,            6.988,           19.628,            13.87,           54.578
    1,    14,           121.28,           1.1591,           5.3641,           22.229,           15.619,           47.812
    1,    15,           65.717,          0.61303,           4.4136,           16.165,            11.42,           43.375
    1,    16,           43.648,          0.39656,           3.9924,           13.002,           9.3495,            41.25
    1,    17,           44.051,          0.40167,           3.8832,           13.085,           9.3997,           40.688
    1,    18,            39.78,          0.35813,            3.967,           12.356,             10.2,           41.125
    1,    19,           58.052,          0.54807,           3.2444,           15.285,           12.186,           37.188
    1,    20,           81.043,          0.76701,           4.3423,           18.082,           13.452,           43.031
    1,    21,           50.084,          0.46335,           3.7493,           14.054,           10.659,           39.984
    1,    22,            41.19,          0.36967,           4.2236,           12.553,           9.9515,           42.438
    1,    23,           63.173,          0.58302,            4.871,           15.765,           12.589,           45.562
    1,    24,            41.05,          0.36612,           4.4378,           12.493,           9.1321,             43.5
    1,    25,           31.196,          0.27748,           3.4479,           10.876,           7.9073,           38.344
    2,     1,           32.437,          0.29317,           3.1199,           11.179,           9.5308,           36.469
    2,     2,           32.162,          0.29509,           2.6525,           11.216,           8.6702,           33.625
    2,     3,           59.251,          0.56269,           2.9819,           15.488,           11.362,           35.656
    2,     4,           50.536,          0.47676,           2.8598,           14.256,           11.214,           34.922
    2,     5,           29.698,          0.27817,           1.8817,           10.889,           7.3433,           28.328
    2,     6,            46.73,          0.44577,           2.1535,           13.785,           10.157,           30.297
    2,     7,           23.622,          0.22271,           1.3503,           9.7437,           6.4794,           23.984
    2,     8,            14.94,           0.1339,           1.5507,           7.5549,            6.166,           25.703
    2,     9,           31.172,          0.29796,           1.3763,            11.27,           8.5513,           24.219
    2,    10,           15.378,          0.14648,          0.72988,           7.9019,            6.365,           17.641
    2,    11,           29.544,          0.28963,           0.5813,           11.111,           8.3732,           15.734
    2,    12,           21.103,          0.20749,          0.35361,           9.4047,           6.9921,           12.281
    2,    13,           21.512,          0.21389,          0.12295,           9.5486,           7.0482,           7.2344
    2,    14,           10.151,          0.10096,         0.054334,           6.5604,           5.1713,           4.8125
    2,    15,           10.309,          0.10304,        0.0041712,           6.6277,           5.1398,           1.3281
    2,    16,            23.76,          0.23759,       0.00084867,           10.064,           7.1788,          0.59375
    2,    17,           16.382,          0.16381,       0.00072427,           8.3564,           6.4815,           0.5625
    2,    18,           26.881,          0.26862,         0.018543,           10.701,           7.7283,           2.8125
    2,    19,           14.165,          0.14134,         0.031698,            7.762,           6.4966,           3.6719
    2,    20,           14.201,          0.14039,          0.16182,            7.736,           6.4724,           8.3125
    2,    21,           31.769,           0.3147,          0.29858,           11.582,           8.9817,           11.281
    2,    22,           9.5207,         0.094429,         0.077856,           6.3445,           4.9238,           5.7656
    2,    23,           16.877,          0.16859,         0.017699,           8.4774,           6.4207,             2.75
    2,    24,            10.32,          0.10313,        0.0069465,           6.6304,           5.5556,           1.7188
    2,    25,           18.651,          0.18571,         0.080409,           8.8973,           7.0605,           5.8594
    3,     1,           8.4171,         0.081487,          0.26841,           5.8938,           4.7415,           10.703
    3,     2,           15.921,          0.15663,          0.25788,           8.1712,           5.5324,           10.484
    3,     3,           6.7927,         0.065951,          0.19763,           5.3022,           4.1975,           9.1719
    3,     4,           7.7434,          0.07691,         0.052421,           5.7259,           4.0739,           4.7344
    3,     5,           9.1681,         0.091664,        0.0016265,            6.251,           4.7648,          0.82812
    3,     6,           14.596,           0.1457,         0.025766,            7.881,           5.7765,           3.3125
    3,     7,            13.86,          0.13856,         0.004678,           7.6853,           6.3451,           1.4062
    3,     8,           27.609,          0.27598,         0.010751,           10.846,           7.4454,           2.1406
    3,     9,           13.546,          0.13546,        9.705e-05,            7.599,            6.044,          0.20312
    3,    10,           12.134,          0.12114,         0.020562,            7.186,           5.6801,           2.9531
    3,    11,           5.6696,         0.056644,        0.0052127,           4.9139,           3.8799,           1.4844
    3,    12,           9.3468,         0.093468,       8.6291e-06,           6.3122,           4.8373,           0.0625
    3,    13,           19.341,          0.19339,        0.0013454,           9.0796,           6.8162,             0.75
    3,    14,               18,          0.17971,         0.028804,           8.7527,           6.5714,              3.5
    3,    15,           8.6653,         0.085914,         0.073878,           6.0517,           4.5432,           5.6094
    3,    16,           12.356,          0.12323,         0.033015,           7.2477,           5.2838,             3.75
    3,    17,           7.7294,         0.076955,         0.033837,           5.7275,           4.3626,           3.7969
    3,    18,           12.936,          0.12936,       2.4954e-05,           7.4258,           5.3004,          0.10938
    3,    19,           19.287,          0.19286,        0.0016106,            9.067,            7.058,          0.82812
    3,    20,           18.954,          0.18954,       7.9915e-05,           8.9887,           7.1466,           0.1875
    3,    21,           26.371,            0.263,         0.071333,           10.588,           8.0393,           5.5156
    3,    22,            17.09,          0.16886,           0.2041,           8.4843,           5.9672,           9.3281
    3,    23,           9.4544,          0.09289,           0.1654,           6.2926,           5.1558,           8.3906
    3,    24,           16.291,          0.16284,        0.0077014,           8.3315,           6.5949,           1.8125
    3,    25,           18.601,          0.18511,         0.090976,            8.883,           6.5885,           6.2344
    4,     1,           13.944,           0.1333,          0.61353,           7.5382,           5.5454,           16.172
    4,     2,           14.092,          0.13566,          0.52613,           7.6045,             5.68,           14.969
    4,     3,           25.326,           0.2516,          0.16575,           10.356,           7.5272,           8.4062
    4,     4,           16.575,          0.16515,         0.059688,           8.3906,            6.355,           5.0469
    4,     5,           8.4913,         0.076748,           0.8165,           5.7198,           4.5622,           18.656
    4,     6,           7.5381,         0.052538,           2.2842,           4.7325,           3.9357,           31.203
    4,     7,           11.633,          0.08973,           2.6598,           6.1847,           4.4536,           33.672
    4,     8,           9.2794,         0.075083,           1.7711,           5.6574,           4.2762,           27.484
    4,     9,           20.563,          0.20115,          0.44798,           9.2599,           6.9436,           13.812
    4,    10,           10.705,          0.10705,       0.00073044,           6.7552,           5.3119,           0.5625
    4,    11,           11.277,          0.11017,          0.25944,            6.853,           5.0463,           10.516
    4,    12,           11.199,          0.10851,          0.34784,           6.8011,           5.4594,           12.172
    4,    13,           12.904,          0.12367,          0.53739,           7.2607,           4.9261,           15.141
    4,    14,           6.7904,         0.063326,          0.45785,           5.1956,           3.9109,           13.969
    4,    15,           9.7179,          0.09484,          0.23382,           6.3584,           5.2726,           9.9844
    4,    16,           19.003,          0.18998,        0.0049251,           8.9993,            6.751,           1.4531
    4,    17,           10.261,          0.10259,        0.0021383,           6.6131,           5.3103,          0.95312
    4,    18,           15.344,          0.15242,          0.10176,           8.0607,           6.2064,           6.5938
    4,    19,           7.4829,         0.072793,          0.20368,           5.5705,           4.5868,           9.3125
    4,    20,           5.0791,         0.049426,          0.13653,           4.5901,           3.7712,            7.625
    4,    21,           13.901,          0.13888,         0.012414,           7.6943,           5.1152,           2.2969
    4,    22,           6.2363,          0.06219,         0.017317,           5.1488,           4.0158,           2.7188
    4,    23,           11.203,          0.11139,         0.064227,           6.8909,           5.6623,           5.2344
    4,    24,           9.3255,           0.0927,         0.055439,           6.2862,           4.8139,           4.8594
    4,    25,           5.4545,         0.054545,       4.2151e-08,            4.822,           4.0192,                0
    5,     1,           9.8729,         0.097201,          0.15277,            6.437,           4.7291,           8.0625
    5,     2,           7.3038,           0.0653,          0.77385,            5.276,           4.0732,           18.156
    5,     3,           9.3788,         0.081147,           1.2641,           5.8815,           4.4428,           23.219
    5,     4,           16.972,          0.15498,           1.4735,           8.1281,           6.8309,           25.062
    5,     5,           12.699,           0.1236,          0.33959,           7.2586,           5.5593,           12.031
    5,     6,           14.914,          0.14913,        0.0011569,           7.9731,           5.7583,          0.70312
    5,     7,           19.419,          0.19224,          0.19478,           9.0526,            6.164,           9.1094
    5,     8,           14.194,          0.13823,          0.37125,           7.6762,           5.2086,           12.578
    5,     9,           9.0005,         0.087394,          0.26106,           6.1036,           4.6658,           10.547
    5,    10,           6.7908,         0.067044,         0.086328,            5.346,           3.9645,           6.0625
    5,    11,           6.8121,            0.068,         0.012141,            5.384,           3.8423,           2.2812
    5,    12,           10.575,          0.10564,         0.010359,           6.7107,           5.0201,           2.0938
    5,    13,           9.3904,         0.093334,         0.056932,           6.3077,           4.6571,           4.9219
    5,    14,           8.9521,         0.088221,          0.13002,           6.1324,           3.9781,           7.4375
    5,    15,           10.721,          0.10285,          0.43539,           6.6215,           5.4542,           13.625
    5,    16,           6.8151,         0.066132,          0.20188,           5.3095,           4.4276,           9.2812
    5,    17,           9.8563,         0.097907,         0.065689,           6.4603,           5.1228,           5.2969
    5,    18,           8.2749,         0.082715,        0.0033537,            5.938,           4.8312,           1.2031
    5,    19,           4.1442,         0.040063,          0.13784,           4.1326,           3.3885,           7.6719
    5,    20,           7.6913,         0.074752,           0.2161,           5.6449,            4.566,           9.5938
    5,    21,           5.5763,          0.05465,          0.11133,           4.8266,           3.8505,           6.8906
    5,    22,           3.1155,         0.030927,         0.022853,           3.6309,           2.7714,            3.125
    5,    23,           4.0119,          0.03988,         0.023885,           4.1231,           3.3878,           3.1875
    5,    24,           6.3075,         0.061935,            0.114,           5.1383,           4.0732,           6.9688
    5,    25,           5.9395,         0.058729,         0.066532,           5.0035,           4.2866,           5.3281
    6,     1,           6.4852,         0.064768,        0.0084548,           5.2545,           3.9836,           1.9062
    6,     2,           6.0414,         0.059902,         0.051206,           5.0532,           3.9539,           4.6719
    6,     3,           5.7955,         0.057793,         0.016189,           4.9635,           3.9641,            2.625
    6,     4,           8.7344,         0.087302,        0.0042105,           6.1004,           4.6882,           1.3438
    6,     5,           3.1106,         0.029795,           0.1311,           3.5638,           2.8851,           7.4688
    6,     6,           5.1297,         0.048388,          0.29091,           4.5417,           3.7572,           11.141
    6,     7,           5.0342,         0.044874,          0.54675,           4.3737,           3.4968,           15.266
    6,     8,           10.435,         0.099528,          0.48236,           6.5136,           5.4028,           14.344
    6,     9,           5.6313,         0.055559,         0.075459,           4.8666,           3.4632,           5.6719
    6,    10,           6.2729,         0.062719,       0.00094812,           5.1707,           4.0375,          0.64062
    6,    11,           3.8244,         0.037971,         0.027317,           4.0232,           3.2775,           3.4062
    6,    12,           9.3027,         0.092807,          0.02204,           6.2898,           4.8227,           3.0625
    6,    13,            5.615,          0.05604,         0.011057,           4.8876,           4.0265,           2.1719
    6,    14,           13.869,          0.13851,         0.018186,           7.6839,           5.9793,           2.7812
    6,    15,           6.9564,         0.069487,        0.0077004,           5.4425,            4.236,           1.8125
    6,    16,           3.5705,         0.035554,         0.015056,           3.8931,           2.9709,           2.5312
    6,    17,           8.0428,         0.079864,         0.056384,           5.8348,           4.2552,           4.9062
    6,    18,           4.2234,         0.041415,         0.081923,           4.2017,           3.5073,           5.9062
    6,    19,           5.1454,         0.049178,          0.22758,           4.5786,            3.248,           9.8438
    6,    20,           16.344,          0.16287,         0.056064,           8.3325,           6.1864,           4.8906
    6,    21,           2.9909,         0.029391,         0.051738,           3.5396,           2.6015,           4.7031
    6,    22,           6.9448,         0.069441,       0.00067604,           5.4407,           3.9435,          0.53125
    6,    23,           5.5332,         0.054397,         0.093486,           4.8154,           3.6582,           6.3125
    6,    24,           8.2436,         0.080245,          0.21917,           5.8487,           4.6341,           9.6719
    6,    25,           6.3097,         0.061142,          0.19541,           5.1053,           4.1551,            9.125
    7,     1,           4.6871,         0.046412,         0.045942,            4.448,           3.5138,           4.4219
    7,     2,           5.8865,          0.05877,        0.0094861,           5.0053,            3.791,           2.0156
    7,     3,           2.7004,         0.026206,         0.079872,           3.3423,           2.5679,           5.8281
    7,     4,           8.2259,         0.081578,         0.068104,            5.897,           4.5186,           5.3906
    7,     5,           2.6553,         0.026239,           0.0314,           3.3444,           2.8832,           3.6562
    7,     6,           4.6145,         0.046092,        0.0053001,           4.4326,           3.1946,              1.5
    7,     7,           6.7979,         0.067248,         0.073059,           5.3541,           3.7623,           5.5781
    7,     8,           3.5329,         0.033174,          0.21542,           3.7605,           2.9469,           9.5781
    7,     9,           7.0244,         0.068492,          0.17514,           5.4034,           3.8054,           8.6406
    7,    10,            2.199,         0.020957,          0.10328,           2.9889,           2.2279,           6.6406
    7,    11,           2.5063,         0.024627,         0.043581,           3.2401,           2.6913,           4.3125
    7,    12,           4.1483,         0.041467,        0.0015699,           4.2044,           3.3201,           0.8125
    7,    13,           4.8307,         0.048076,         0.023042,            4.527,            3.471,           3.1406
    7,    14,            3.188,         0.031115,         0.076454,            3.642,           2.8111,           5.7031
    7,    15,           7.3494,         0.073161,         0.033336,           5.5845,           4.1949,           3.7656
    7,    16,           3.6434,         0.036337,        0.0096232,           3.9357,           2.9356,           2.0312
    7,    17,           9.3542,          0.09336,         0.018206,           6.3085,           4.5129,           2.7812
    7,    18,           9.9572,         0.096333,          0.32396,           6.4082,           4.9839,            11.75
    7,    19,           5.8974,         0.055241,          0.37326,           4.8527,           4.0513,           12.609
    7,    20,           6.2903,         0.062238,         0.066431,           5.1508,           3.2127,           5.3281
    7,    21,           2.8243,         0.028164,        0.0078925,           3.4649,           2.7091,           1.8281
    7,    22,           2.9243,         0.029205,        0.0037446,           3.5284,            2.749,           1.2656
    7,    23,           4.5519,          0.04418,          0.13392,           4.3397,           3.3803,           7.5625
    7,    24,           11.619,          0.11455,          0.16349,           6.9879,           5.7394,           8.3438
    7,    25,           7.9263,         0.075199,          0.40639,           5.6618,           4.4274,           13.156
    8,     1,           6.5377,          0.06283,           0.2547,           5.1753,           3.9003,           10.422
    8,     2,           7.9978,         0.079747,         0.023135,           5.8305,           4.5658,           3.1406
    8,     3,           10.628,          0.10555,         0.073705,           6.7077,           5.1294,           5.6094
    8,     4,           4.6928,         0.045164,          0.17648,           4.3878,           3.6539,           8.6719
    8,     5,           5.3408,         0.052151,          0.12573,            4.715,           3.5954,           7.3281
    8,     6,           4.4622,          0.04452,         0.010284,           4.3564,           3.4193,           2.0938
    8,     7,           2.6094,         0.025813,         0.028116,           3.3172,           2.6556,           3.4688
    8,     8,           6.6363,         0.065231,          0.11317,           5.2732,           4.1236,           6.9531
    8,     9,           7.4536,         0.074138,         0.039824,           5.6217,           4.4079,            4.125
    8,    10,           7.1429,         0.071151,         0.027782,           5.5073,           4.3534,           3.4375
    8,    11,           6.0075,         0.056341,          0.37346,           4.9007,           3.7021,           12.625
    8,    12,           6.7906,         0.062519,          0.53868,           5.1624,            4.364,           15.156
    8,    13,           3.1139,         0.027489,          0.36501,           3.4231,           2.7125,           12.469
    8,    14,           5.7971,         0.056396,          0.15746,           4.9031,           3.5482,           8.1875
    8,    15,           6.8093,         0.068067,        0.0025435,           5.3866,           4.3402,           1.0469
    8,    16,           4.3712,         0.042958,         0.075441,           4.2793,           3.2867,           5.6719
    8,    17,            6.384,         0.062359,          0.14804,           5.1558,           3.7288,           7.9375
    8,    18,           8.2368,         0.081339,          0.10292,           5.8884,           4.3777,            6.625
    8,    19,           2.2945,         0.022741,         0.020315,           3.1136,           2.5196,           2.9375
    8,    20,           7.9011,         0.078779,         0.023148,            5.795,           4.8979,           3.1406
    8,    21,           10.182,          0.10149,         0.033082,           6.5775,           5.2699,             3.75
    8,    22,           5.2162,         0.051719,         0.044309,           4.6954,           3.6657,           4.3438
    8,    23,           8.0317,         0.080244,        0.0072811,           5.8486,           4.4456,           1.7656
    8,    24,           9.5225,          0.09509,         0.013517,           6.3667,           5.1953,           2.4062
    8,    25,           5.7175,         0.056929,         0.024659,           4.9262,           3.9205,           3.2344
    9,     1,           6.7354,         0.066336,          0.10185,           5.3177,           4.5211,           6.5938
    9,     2,           6.7672,          0.06536,          0.23112,           5.2784,           4.1014,           9.9219
    9,     3,           6.9054,         0.067786,          0.12681,           5.3755,           4.0605,           7.3594
    9,     4,            2.794,         0.027737,         0.020292,           3.4386,           2.6908,           2.9375
    9,     5,           3.0272,         0.030228,        0.0043973,           3.5897,           2.9694,            1.375
    9,     6,            3.224,         0.032047,         0.019327,           3.6961,           2.8241,            2.875
    9,     7,           10.481,          0.10312,          0.16862,           6.6301,           5.0186,           8.4844
    9,     8,           3.8819,           0.0379,         0.091867,           4.0195,           3.0794,           6.2656
    9,     9,           5.3753,          0.05229,          0.14627,           4.7213,           3.6735,           7.8906
    9,    10,           8.8456,         0.087263,          0.11929,           6.0991,           4.6826,            7.125
    9,    11,            6.051,         0.059547,         0.096335,           5.0382,           4.1605,           6.4062
    9,    12,           4.0718,         0.039841,         0.087736,           4.1211,           3.3795,           6.1094
    9,    13,            4.753,         0.047432,        0.0097956,           4.4966,           3.5613,           2.0469
    9,    14,           3.1248,         0.031248,       1.9089e-05,           3.6497,           2.5919,          0.09375
    9,    15,           2.8831,         0.028254,         0.057715,           3.4705,           2.7192,           4.9531
    9,    16,           10.952,          0.10766,          0.18588,           6.7745,           4.4818,           8.9062
    9,    17,           3.3429,         0.031241,          0.21887,           3.6493,           2.7442,           9.6562
    9,    18,           2.2616,         0.021928,         0.068792,           3.0574,           2.3374,           5.4219
    9,    19,           4.0291,          0.04026,        0.0030807,           4.1427,           3.3572,           1.1406
    9,    20,           2.6292,         0.026258,        0.0033541,           3.3457,           2.4412,           1.2031
    9,    21,           4.7518,         0.047236,         0.028163,           4.4873,           3.2811,           3.4688
    9,    22,           2.0858,         0.020278,         0.057982,           2.9401,           2.3683,           4.9688
    9,    23,            3.808,         0.036966,          0.11134,           3.9696,           3.2495,           6.8906
    9,    24,            4.716,         0.046595,         0.056473,           4.4568,           3.5583,           4.9062
    9,    25,           4.6311,         0.046024,         0.028768,           4.4293,           3.4061,              3.5
   10,     1,           2.5464,         0.025305,         0.015915,           3.2843,           2.6352,           2.6094
   10,     2,           2.2209,         0.022202,       0.00068905,           3.0764,           2.4246,          0.54688
   10,     3,           4.8038,         0.048008,        0.0030433,           4.5238,           3.2646,           1.1406
   10,     4,           3.0598,         0.030512,        0.0085512,           3.6065,           2.7666,           1.9062
   10,     5,            4.051,         0.040476,        0.0034573,           4.1538,           3.1155,           1.2188
   10,     6,           3.0109,         0.030087,         0.002255,           3.5813,           2.7301,          0.98438
   10,     7,           6.6978,         0.066495,         0.048256,           5.3241,           4.5202,           4.5312
   10,     8,           2.2211,         0.022082,         0.012833,           3.0681,           2.3738,           2.3438
   10,     9,            2.898,         0.028859,          0.01215,           3.5074,            2.811,           2.2812
   10,    10,           7.1861,         0.071474,         0.038693,           5.5198,           4.1683,           4.0625
   10,    11,           4.8507,         0.048503,       0.00035705,           4.5471,           3.4901,          0.39062
   10,    12,           1.6618,         0.016617,       0.00010457,           2.6615,           1.9839,          0.21875
   10,    13,           2.9585,         0.029481,         0.010413,            3.545,           2.5631,           2.1094
   10,    14,           1.7635,         0.017473,         0.016239,           2.7291,           2.1643,            2.625
   10,    15,           4.5629,         0.045407,         0.022272,           4.3995,           3.3653,           3.0781
   10,    16,           2.5385,         0.024123,          0.12626,           3.2067,           2.4168,           7.3438
   10,    17,           2.7709,         0.027026,          0.06833,           3.3942,            2.733,           5.3906
   10,    18,           2.9818,         0.029799,        0.0019685,           3.5641,           2.8118,          0.92188
   10,    19,           3.5125,         0.034961,         0.016429,           3.8605,           3.0063,           2.6406
   10,    20,           4.5842,         0.045127,         0.071509,            4.386,           3.2397,           5.5156
   10,    21,           1.8404,         0.017992,         0.041183,           2.7694,           2.2563,           4.1875
   10,    22,           4.4812,         0.044594,         0.021829,             4.36,           3.6298,           3.0469
   10,    23,           5.3605,         0.053602,       0.00032469,           4.7801,           3.6979,            0.375
   10,    24,           1.9987,          0.01995,        0.0037491,           2.9162,           2.3203,           1.2656
   10,    25,           4.6256,         0.046164,        0.0092622,           4.4361,           3.5024,           1.9844
   11,     1,           1.6789,          0.01653,         0.025845,           2.6545,           1.9551,           3.3125
   11,     2,           1.8672,         0.018439,         0.023355,           2.8036,             2.31,           3.1562
   11,     3,           2.4007,         0.023971,        0.0035441,           3.1966,            2.528,           1.2344
   11,     4,           2.6316,         0.026307,       0.00094613,           3.3487,           2.4439,          0.64062
   11,     5,           1.9594,         0.019524,        0.0069716,           2.8849,           2.2557,           1.7188
   11,     6,           2.5961,         0.025759,         0.020266,           3.3137,           2.4489,           2.9375
   11,     7,           6.0218,          0.05876,           0.1458,           5.0048,           3.6636,           7.8906
   11,     8,           2.2426,          0.02176,         0.066583,           3.0456,           2.4034,           5.3281
   11,     9,           6.3141,         0.062508,         0.063264,            5.162,           4.4202,           5.1875
   11,    10,           1.9384,         0.019365,        0.0018463,           2.8732,           2.3462,          0.89062
   11,    11,           3.2074,         0.032009,        0.0065127,           3.6939,           2.9122,           1.6719
   11,    12,           3.5384,         0.035379,       0.00043129,           3.8835,           3.0369,          0.42188
   11,    13,           1.6175,         0.016136,        0.0038552,           2.6227,           2.0486,           1.2812
   11,    14,           3.3458,         0.033434,        0.0024553,           3.7752,           3.0087,           1.0156
   11,    15,           2.8049,         0.027669,         0.038038,           3.4343,           2.7219,           4.0312
   11,    16,            1.429,         0.013987,          0.03032,           2.4418,           1.9376,           3.5938
   11,    17,           2.9597,         0.029227,         0.037032,           3.5297,           2.7497,           3.9688
   11,    18,            2.424,          0.02412,            0.012,           3.2065,            2.116,           2.2656
   11,    19,           3.8325,         0.037935,            0.039,           4.0213,           2.8985,           4.0781
   11,    20,           1.7339,         0.016791,         0.054842,           2.6754,           2.0101,           4.8281
   11,    21,           2.7304,         0.026843,         0.046121,           3.3827,           2.5005,           4.4375
   11,    22,            3.925,         0.039242,        0.0008365,             4.09,           3.1551,          0.59375
   11,    23,           1.9702,         0.019337,         0.036511,           2.8711,            2.303,           3.9375
   11,    24,           4.9947,         0.049326,         0.062168,           4.5855,           3.8082,           5.1406
   11,    25,           3.6173,         0.035865,          0.03084,             3.91,           2.9393,            3.625
   12,     1,           2.4697,         0.024618,        0.0078171,           3.2395,           2.4692,           1.8281
   12,     2,           2.2164,         0.021273,         0.089108,           3.0114,           2.4002,           6.1562
   12,     3,           4.3112,         0.041944,          0.11682,           4.2284,           3.1664,           7.0625
   12,     4,           1.4032,          0.01332,         0.071193,           2.3829,           1.8127,           5.5156
   12,     5,           1.8923,         0.018852,        0.0070958,           2.8348,           2.2788,           1.7344
   12,     6,           1.8238,         0.018151,        0.0087186,           2.7816,           2.3792,           1.9219
   12,     7,           3.5777,         0.035216,         0.056027,           3.8745,           3.1853,           4.8906
   12,     8,           4.1831,         0.040441,          0.13902,            4.152,           3.1152,           7.7031
   12,     9,           1.5373,         0.014587,         0.078553,           2.4936,           2.0163,           5.7812
   12,    10,           1.9486,         0.019019,         0.046644,           2.8474,           2.0959,           4.4531
   12,    11,           1.6737,         0.016524,         0.021311,           2.6541,           1.8534,           3.0156
   12,    12,           4.6432,          0.04622,         0.021227,           4.4388,           3.2387,           3.0156
   12,    13,           1.6267,         0.016267,       7.7073e-06,           2.6333,           2.0099,           0.0625
   12,    14,           4.3787,         0.043784,       0.00030421,           4.3202,            3.522,          0.35938
   12,    15,           6.1262,         0.060973,         0.028848,           5.0982,           3.9861,              3.5
   12,    16,           2.5756,         0.025687,        0.0069698,            3.309,           2.4843,           1.7188
   12,    17,           5.5513,         0.055513,       3.9541e-06,           4.8646,           3.9271,         0.046875
   12,    18,           3.2352,         0.031862,         0.048958,           3.6854,           3.0418,           4.5625
   12,    19,           1.6448,         0.014839,          0.16093,           2.5151,           2.0937,           8.2812
   12,    20,            5.791,         0.057297,         0.061327,           4.9421,           4.1872,           5.1094
   12,    21,           6.5576,         0.065558,        0.0017941,           5.2864,           4.3288,            0.875
   12,    22,           3.1274,         0.031194,        0.0080066,           3.6466,           2.8261,           1.8438
   12,    23,           4.0814,         0.040772,        0.0042534,            4.169,           3.5228,           1.3438
   12,    24,           2.9533,          0.02935,         0.018284,           3.5372,            2.808,           2.7969
   12,    25,           3.1016,         0.030689,         0.032651,           3.6169,             2.65,           3.7344
   13,     1,           3.7615,         0.037325,          0.02895,           3.9889,           3.2326,           3.5156
   13,     2,           4.0396,         0.040384,         0.001117,           4.1491,           3.5426,           0.6875
   13,     3,           5.2723,          0.05267,        0.0053146,           4.7384,           3.5732,              1.5
   13,     4,           2.9005,         0.028914,        0.0091422,           3.5107,           2.7368,           1.9688
   13,     5,           6.2982,         0.062848,          0.01341,            5.176,           4.5943,           2.3906
   13,     6,           2.9644,          0.02825,          0.13936,           3.4702,           2.6432,           7.7031
   13,     7,           4.5117,         0.044173,         0.094324,           4.3394,           3.1332,           6.3438
   13,     8,            1.474,         0.014739,       6.7023e-05,           2.5066,           1.7791,          0.17188
   13,     9,           4.2159,         0.040307,          0.18526,           4.1451,             3.15,           8.8906
   13,    10,           5.0073,         0.047652,          0.24208,            4.507,           3.8414,           10.156
   13,    11,           3.3846,         0.032532,          0.13141,            3.724,            2.736,           7.4844
   13,    12,           6.3583,         0.063535,        0.0047772,           5.2042,           3.8717,           1.4219
